grid_id,activity_account
12080,0
12237,0
12081,0
12238,0
11763,0
11921,0
11764,0
11922,0
11765,0
11923,0
11766,0
11924,0
11767,0
11768,0
12082,0
12083,1
10185,0
10028,0
10186,0
10029,0
10030,0
10187,0
10188,0
10031,0
10189,0
10032,0
10342,0
10500,0
10343,0
10501,0
10344,0
10345,0
10502,0
10503,0
10346,0
10504,0
10814,0
10815,0
10658,0
10659,0
10816,0
10660,0
10817,0
10661,0
10818,0
10819,0
10190,0
10033,10
10191,2
10034,0
10035,4
10192,0
10036,0
10193,0
10037,2
10194,0
10347,0
10505,5
10348,0
10506,2
10349,0
10507,0
10350,0
10508,0
10351,0
10509,0
10662,1
10663,0
10820,0
10664,1
10821,1
10665,0
10822,2
10666,0
10823,0
10667,0
10195,0
10038,0
10196,0
10039,3
10197,0
10040,0
10198,0
10041,0
10199,0
10042,0
10352,0
10510,0
10353,0
10511,4
10354,0
10512,5
10355,0
10356,0
10513,0
10514,0
10824,0
10668,0
10825,3
10826,0
10669,0
10827,0
10670,0
10828,0
10671,6
10829,0
10043,0
10200,0
11597,0
11441,0
11598,0
11442,0
11599,0
11443,0
11600,1
11444,0
11601,0
11445,0
10972,7
11129,0
10973,1
11130,1
10974,0
11131,0
10975,0
11132,0
10976,0
11133,0
11284,0
11285,0
11286,0
11287,0
11288,0
11289,0
11290,0
11291,0
11292,0
11293,0
11602,0
11446,0
11603,0
11447,0
11604,0
11448,0
11605,0
11449,2
11606,4
11450,1
10977,2
11134,0
10978,0
11135,0
11136,0
10979,0
10980,0
11137,0
10981,0
11138,3
11607,0
11451,0
11608,2
11452,1
11609,0
11453,0
11610,0
11454,0
11611,0
11455,1
11294,0
11295,2
11296,0
11297,0
11298,0
11299,6
11300,0
11144,0
11301,0
11145,0
10982,0
11139,0
10983,0
11140,0
10984,1
11141,1
10985,0
11142,0
10986,1
11143,1
11612,0
11613,0
11456,0
11614,0
11457,0
11615,0
11458,0
11616,0
11459,0
11617,0
10987,0
10988,0
10357,0
10515,0
10672,0
10830,0
11925,0
11769,0
11926,0
11770,0
11927,0
11928,0
11771,0
11929,0
11772,0
11773,0
11774,0
11775,0
11302,0
11303,0
11460,0
11618,0
